company_name,website_url,label
"Air Max HVAC",https://www.airmaxexperts.com/,1
"Total Comfort",https://www.totalcomfortinc.net,1
"Environmental Heating & Air Solutions",https://www.ehasolutions.com,1
"Kaiser Air Conditioning",https://www.kaiserac.com/,1
"Lee's Air Conditioning",https://www.leesair.com,1
"Carter Services",https://www.carterservices.com,1
"Kahn Air Conditioning",https://www.kahnair.com,1
"Wally Falke's Air Conditioning",https://www.wallyfalkes.com/,1
"Metrex Valve",https://www.metrexvalve.com/,1
"Global Power Supply",https://www.globalpwr.com,1
"Hegge Electrical Contractors",https://www.heggeelectrical.com/,1
"Electricraft, Inc.",https://www.electricraftinc.com,1
"Schrader Mechanical",https://www.smiwest.com/,1
"Jamar Power Systems",https://www.jamarpower.com,1
"ASF Electric",https://www.asfelectric.net/,1
"Diamond Bar Electric",https://www.diamondbarelectric.com,1
"MDE Electric",https://www.mde-electric.com,1
"Northern Electric",https://www.northernelectric.com,1
"Leone Electric",https://www.leoneelectric.com,1
"Linkture",https://www.linkture.com/,1
"Knights's Electric",https://www.knightselectric.com,1
"Native American Electric",https://www.naelectric.net/,1
"Bosley Electric",https://www.bosleyelec.com/,1
"Wild Electric",https://www.wildelectric.com/,1
"Barden Electric",https://www.bardenelectric.com,1
"Farris Electric",https://www.farriselectric.com/,1
"Touchstone Engineering",https://www.te-corp.com/,1
"Weatherite Corporation",https://weatherite.com,1
"Bay Air Systems",https://bayairsystems.com,1
"City Mechanical, Inc.",https://citymechanical.com,1
"Los Angeles Air Conditioning",https://laair.net,1
"LOVAZZANO HVAC, Inc.",https://lhvaci.com,1
"Irvine Valley Air Conditioning",https://irvinevalleyair.com,1
"Allied Heating & Air Conditioning Co. Inc. | Allied Mechanical (tm)",https://alliedhvac.com,1
"L&H Airco",https://lhairco.com,1
"Talent Air",https://talentair.com,1
"Apex Mechanical Systems, Inc.",https://apexmech.com,1
"H.V.A.C. Mechanical, Inc.",https://hvacmech.com,1
"National Air & Energy",https://natlair.com,1
"C.E. Mechanical, Inc.",https://cemech.com,1
"HomeAdvisor HVAC Services",https://www.homeadvisor.com/,0
"Local HVAC Pros",https://www.localhvacpros.com/,0
"Cool Breeze HVAC",https://www.coolbreezehvac.com/,0
"Salesforce",https://www.salesforce.com/,0
"Starbucks",https://www.starbucks.com/,0
"Apple Inc.",https://www.apple.com/,0
"Walmart",https://www.walmart.com/,0
"McDonald's",https://www.mcdonalds.com/,0
"Google",https://www.google.com/,0
"Amazon",https://www.amazon.com/,0
"Roto-Rooter Plumbing",https://www.rotorooter.com/,0
"AAA Auto Repair",https://www.aaa.com/autorepair,0
"Best Buy",https://www.bestbuy.com/,0
"Chipotle",https://www.chipotle.com/,0
"FedEx",https://www.fedex.com/,0
"Bay Alarm",https://www.bayalarm.com/,0
"Zerocater",https://zerocater.com/,0
"Tech Guys Computer IT Services",https://www.techguyscomputer.com/,0
"Mobile Computer Services",https://www.mobilecomputerservices.com/,0
"Kingly Computer Service Center",https://www.kinglyservicecenter.com/,0
"Consilien IT Company",https://www.consilien.com/,0
"Executech",https://www.executech.com/,0
"Be Structured",https://bestructured.com/,0
"SimplePricing MSP",https://www.simplepricingmsp.com/,0
"NavEase",https://navease.com/,0
"RipenApps Technologies",https://ripenapps.com/,0
"A3Logics Inc.",https://www.a3logics.com/,0
"PulsePoint Group",https://pulsepointgroup.com/,0
"Technossus",https://www.technossus.com/,0
"CFO Advisors",https://cfoadvisors.com/,0
"GHC Mechanical",https://ghcmech.com,1
"Greater San Diego Air Conditioning",https://gsdac.com,1
"Anderson Air Conditioning LP",https://aac-ams.com,1
"Pattonac",https://pattonac.com,1
"BRYMAX Construction Services, Inc.",https://brymaxservices.com,1
"Bacco Mechanical Inc.",https://baccomechanical.com,1
"Benrich Service Company, Inc.",https://benrichservice.com,1
"Accel Air Systems, Inc",https://accelairsystems.com,1
"J&J Air Conditioning, Inc.",https://jjair.com,1
"Marina Mechanical Services",https://marinam.com,1
"Rawlings Mechanical Corporation",https://rawlingsmechanical.com,1
"McIntyre",https://mcintyrecorp.com,1
"Paradigm Mechanical Corporation",https://pmccontracting.com,1
"Energy Performance International",https://epi.international,1
"Arctic Cooling Systems",https://arcticcoolsys.com,1
"A&J Refrigeration",https://ajrefrigeration.net,1
"Alliance Industrial Refrigeration Services, Inc.",https://therefrigerationalliance.com,1
"Hart Mechanical",https://hartmech.com,1
"Classic Refrigeration",https://classicsocal.com,1
"World Mechanical, Inc.",https://worldmechanical.com,1
"Astro Mechanical Contractors, Inc",https://astro-mech.com,1
"Champion Industrial Contractors, Inc.",https://championindustrial.com,1
"Athena Engineering, Inc.",https://athenaengineering.com,1
"Air Balance Co., Inc.",https://airbalanceco.com,1
"Associate Mechanical Contractors (AMC)",https://amechinc.com,1
"National Air Balance Company, Inc.",https://nabco.biz,1
"Dawson Company",https://dawsonco.com,1
"Anderson Systems",https://andersys.com,1
"Clima-Tech LLC",https://climatechref.com,1
"Royal Construction Group",https://rcgroupusa.com,1
"Iec Services",https://iecservices.com,1
"OJV Construction",https://ojvconstruction.com,1
"PMC Southwest",https://pmc-southwest.com,1
"Resilient Service Solutions",https://resilientfm.com,1
"Syserco Energy Solutions, Inc.",https://syserco-es.com,1
"Taper",https://tapersolutions.com,1
"American Chiller Service",https://americanchiller.com,1
"Ayoob & Peery",https://ayoobpeery.com,1
"Accutherm Refrigeration Inc.",https://accuthermrefrigeration.com,1
"Plenums Plus",https://plenumsplus.com,1
"Ram Mechanical Inc.",https://ram-mechanical.com,1
"Huff Construction Company, Inc.",https://huffcon.com,1
"Advance Design Consultants, Inc.",https://adcengineers.com,1
"Davenergy Solutions",https://davenergy.com,1
"Tri-Technic, Inc.",https://tri-technic.com,1
"Power Grade INC.",https://powergradeinc.com,1
"Professional Electrical Construction Services",https://pecs.biz,1
"Ferreira Power West, LLC",https://ferreirapw.com,1
"High Light Electric Inc.",https://hleincusa.com,1
"MCH Electric",https://mchelec.com,1
"Basin Enterprises, Inc.",https://basinentinc.com,1
"Javelin Utility Services Inc.",https://javelin-us.com,1
"RL Clotworthy Construction, Inc.",https://clotworthyconstruction.com,1
"Turf Construction Company Inc.",https://turfconstruction.com,1
"Leo Tidwell Excavating Corporation",https://tidwellcompanies.com,1
"Inland Metro Services INC",https://inlandmetro.com,1
"TSAC Engineering",https://tsacengineering.com,1
"Vantage Utility Services",https://vantageutilityconnections.com,1
"JMH Engineering and Construction, Inc.",https://jmheandc.com,1
"brytemove energy",https://brytemove.com,1
"California Compaction Corporation",https://cacompaction.com,1
"Thumbtack",https://www.thumbtack.com,0
"Angi",https://www.angi.com,0
"Porch",https://porch.com,0
"TaskRabbit",https://www.taskrabbit.com,0
"Handy",https://www.handy.com,0
"Brightwheel",https://www.mybrightwheel.com,0
"Gusto",https://gusto.com,0
"Notion Labs",https://www.notion.so,0
"Airtable",https://www.airtable.com,0
"Zapier",https://zapier.com,0
"Calendly",https://calendly.com,0
"Loom",https://www.loom.com,0
"Miro",https://miro.com,0
"Squarespace",https://www.squarespace.com,0
"Wix",https://www.wix.com,0
"Mailchimp",https://mailchimp.com,0
"Canva",https://www.canva.com,0
"Eventbrite",https://www.eventbrite.com,0
"SurveyMonkey",https://www.surveymonkey.com,0
"Zendesk",https://www.zendesk.com,0
"FreshBooks",https://www.freshbooks.com,0
"Wave Accounting",https://www.waveapps.com,0
"Bench Accounting",https://bench.co,0
"Pilot Accounting",https://pilot.com,0
"Local Garage Door Repair",https://www.garagedoorrepair.com,0
"Precision Garage Door",https://www.precisiondoor.net,0
"Glass Doctor",https://glassdoctor.com,0
"Mr. Rooter Plumbing",https://www.mrrooter.com,0
"One Hour Heating & Air Conditioning",https://www.onehourheatandair.com,0
"Servpro",https://www.servpro.com,0
"Molly Maid",https://www.mollymaid.com,0
"Stanley Steemer",https://www.stanleysteemer.com,0
"Terminix",https://www.terminix.com,0
"Orkin",https://www.orkin.com,0
"TruGreen",https://www.trugreen.com,0
"Lawn Doctor",https://www.lawndoctor.com,0
"Roto-Rooter",https://www.rotorooter.com,0
"Meineke",https://www.meineke.com,0
"Jiffy Lube",https://www.jiffylube.com,0
"Midas",https://www.midas.com,0
"Firestone Complete Auto Care",https://www.firestonecompleteautocare.com,0
"U-Haul",https://www.uhaul.com,0
"PODS",https://www.pods.com,0
"Two Men and a Truck",https://twomenandatruck.com,0
